"","long","lat","group","order","region","subregion","avgvac"
"3498",-99.7233047485352,31.575704574585,2692,78217,"texas","runnels",0.938664029214851
"3499",-100.118644714355,31.569974899292,2692,78218,"texas","runnels",0.938664029214851
"3500",-100.233238220215,31.575704574585,2692,78219,"texas","runnels",0.938664029214851
"3501",-100.233238220215,31.6902942657471,2692,78220,"texas","runnels",0.938664029214851
"3502",-100.233238220215,32.0741806030273,2692,78221,"texas","runnels",0.938664029214851
"3503",-100.14729309082,32.0741806030273,2692,78222,"texas","runnels",0.938664029214851
"3504",-94.583869934082,32.4236831665039,2693,78224,"texas","rusk",0.968283398195743
"3505",-94.5724105834961,32.4351425170898,2693,78225,"texas","rusk",0.968283398195743
"3506",-94.5552291870117,32.4236831665039,2693,78226,"texas","rusk",0.968283398195743
"3507",-94.5323028564453,32.4179534912109,2693,78227,"texas","rusk",0.968283398195743
"3508",-94.503662109375,32.4179534912109,2693,78228,"texas","rusk",0.968283398195743
"3509",-94.5208511352539,32.3778457641602,2693,78229,"texas","rusk",0.968283398195743
"3510",-94.5552291870117,32.2976303100586,2693,78230,"texas","rusk",0.968283398195743
"3511",-94.583869934082,32.2517929077148,2693,78231,"texas","rusk",0.968283398195743
"3512",-94.6125183105469,32.1830368041992,2693,78232,"texas","rusk",0.968283398195743
"3513",-94.6182479858398,32.097095489502,2693,78233,"texas","rusk",0.968283398195743
"3514",-94.6182479858398,31.9996929168701,2693,78234,"texas","rusk",0.968283398195743
"3515",-94.5265731811523,31.9939613342285,2693,78235,"texas","rusk",0.968283398195743
"3516",-94.4635543823242,31.8736419677734,2693,78236,"texas","rusk",0.968283398195743
"3517",-94.9849395751953,31.8679141998291,2693,78237,"texas","rusk",0.968283398195743
"3518",-94.9906692504883,32.1486625671387,2693,78238,"texas","rusk",0.968283398195743
"3519",-94.9906692504883,32.3893051147461,2693,78239,"texas","rusk",0.968283398195743
"3520",-94.8932723999023,32.3893051147461,2693,78240,"texas","rusk",0.968283398195743
"3521",-94.6067962646484,32.3950347900391,2693,78241,"texas","rusk",0.968283398195743
"3522",-94.583869934082,32.4236831665039,2693,78242,"texas","rusk",0.968283398195743
"3523",-93.8218383789062,31.5814323425293,2694,78244,"texas","sabine",0.935589873089873
"3524",-93.7989196777344,31.5413246154785,2694,78245,"texas","sabine",0.935589873089873
"3525",-93.7760009765625,31.5298671722412,2694,78246,"texas","sabine",0.935589873089873
"3526",-93.7473526000977,31.5298671722412,2694,78247,"texas","sabine",0.935589873089873
"3527",-93.7301635742188,31.5184097290039,2694,78248,"texas","sabine",0.935589873089873
"3528",-93.7416305541992,31.5069484710693,2694,78249,"texas","sabine",0.935589873089873
"3529",-93.7530822753906,31.4783000946045,2694,78250,"texas","sabine",0.935589873089873
"3530",-93.7187042236328,31.4611110687256,2694,78251,"texas","sabine",0.935589873089873
"3531",-93.7015228271484,31.4210052490234,2694,78252,"texas","sabine",0.935589873089873
"3532",-93.6614074707031,31.3808975219727,2694,78253,"texas","sabine",0.935589873089873
"3533",-93.6671371459961,31.3694400787354,2694,78254,"texas","sabine",0.935589873089873
"3534",-93.684326171875,31.3407917022705,2694,78255,"texas","sabine",0.935589873089873
"3535",-93.7015228271484,31.3236026763916,2694,78256,"texas","sabine",0.935589873089873
"3536",-93.6957931518555,31.3121452331543,2694,78257,"texas","sabine",0.935589873089873
"3537",-93.678596496582,31.3006839752197,2694,78258,"texas","sabine",0.935589873089873
"3538",-93.6499557495117,31.2892265319824,2694,78259,"texas","sabine",0.935589873089873
"3539",-93.6270294189453,31.2663078308105,2694,78260,"texas","sabine",0.935589873089873
"3540",-93.6098480224609,31.2433891296387,2694,78261,"texas","sabine",0.935589873089873
"3541",-93.6098480224609,31.2204704284668,2694,78262,"texas","sabine",0.935589873089873
"3542",-93.5754699707031,31.1975517272949,2694,78263,"texas","sabine",0.935589873089873
"3543",-93.9077835083008,31.174633026123,2694,78264,"texas","sabine",0.935589873089873
"3544",-94.051025390625,31.1517143249512,2694,78265,"texas","sabine",0.935589873089873
"3545",-94.0682144165039,31.180362701416,2694,78266,"texas","sabine",0.935589873089873
"3546",-94.051025390625,31.2319278717041,2694,78267,"texas","sabine",0.935589873089873
"3547",-94.0682144165039,31.3236026763916,2694,78268,"texas","sabine",0.935589873089873
"3548",-94.056755065918,31.432466506958,2694,78269,"texas","sabine",0.935589873089873
"3549",-93.9879989624023,31.5012187957764,2694,78270,"texas","sabine",0.935589873089873
"3550",-93.9765396118164,31.5871620178223,2694,78271,"texas","sabine",0.935589873089873
"3551",-93.9135131835938,31.632999420166,2694,78272,"texas","sabine",0.935589873089873
"3552",-93.8218383789062,31.5814323425293,2694,78273,"texas","sabine",0.935589873089873
"3553",-94.4005279541016,31.6731071472168,2695,78275,"texas","san augustine",0.965514275885793
"3554",-94.3031234741211,31.6673755645752,2695,78276,"texas","san augustine",0.965514275885793
"3555",-94.0796661376953,31.6387310028076,2695,78277,"texas","san augustine",0.965514275885793
"3556",-94.0281066894531,31.6100807189941,2695,78278,"texas","san augustine",0.965514275885793
"3557",-93.9765396118164,31.5871620178223,2695,78279,"texas","san augustine",0.965514275885793
"3558",-93.9879989624023,31.5012187957764,2695,78280,"texas","san augustine",0.965514275885793
"3559",-94.056755065918,31.432466506958,2695,78281,"texas","san augustine",0.965514275885793
"3560",-94.0682144165039,31.3236026763916,2695,78282,"texas","san augustine",0.965514275885793
"3561",-94.051025390625,31.2319278717041,2695,78283,"texas","san augustine",0.965514275885793
"3562",-94.0682144165039,31.180362701416,2695,78284,"texas","san augustine",0.965514275885793
"3563",-94.051025390625,31.1517143249512,2695,78285,"texas","san augustine",0.965514275885793
"3564",-94.131233215332,31.123067855835,2695,78286,"texas","san augustine",0.965514275885793
"3565",-94.3375015258789,31.2491188049316,2695,78287,"texas","san augustine",0.965514275885793
"3566",-94.3375015258789,31.3751678466797,2695,78288,"texas","san augustine",0.965514275885793
"3567",-94.326042175293,31.4381923675537,2695,78289,"texas","san augustine",0.965514275885793
"3568",-94.3375015258789,31.4783000946045,2695,78290,"texas","san augustine",0.965514275885793
"3569",-94.3317718505859,31.627269744873,2695,78291,"texas","san augustine",0.965514275885793
"3570",-94.3776092529297,31.6501884460449,2695,78292,"texas","san augustine",0.965514275885793
"3571",-94.4005279541016,31.6731071472168,2695,78293,"texas","san augustine",0.965514275885793
"3572",-95.2026672363281,30.8365898132324,2696,78295,"texas","san jacinto",0.945642367376399
"3573",-95.1453704833984,30.8079414367676,2696,78296,"texas","san jacinto",0.945642367376399
