"","X1","Textbox87","Textbox82","nat_definition4","region_name_3","textbox37","Category3","textbox39","Assur_DestinationCity1","Cases3","Cases4"
"41",44162,"From: 01 Jan 2006","To: 31 Dec 2006","Arizona",2006,1439,"Afghanistan",85,"Glendale",4,39552
"42",41478,"From: 01 Jan 2007","To: 31 Dec 2007","Arizona",2007,2024,"Afghanistan",22,"Glendale",1,47753
"43",20287,"From: 01 Jan 2008","To: 31 Dec 2008","Arizona",2008,3392,"Afghanistan",81,"Phoenix",52,64733
"44",23267,"From: 01 Jan 2009","To: 31 Dec 2009","Arizona",2009,4543,"Afghanistan",36,"Phoenix",28,79942
"45",46898,"From: 01 Jan 2010","To: 31 Dec 2010","Arizona",2010,3155,"Afghanistan",40,"Glendale",1,71361
"46",49781,"From: 01 Jan 2011","To: 31 Dec 2011","Arizona",2011,1961,"Afghanistan",16,"Phoenix",10,51458
"47",2402,"From: 01 Jan 2012","To: 31 Dec 2012","Arizona",2012,2686,"Afghanistan",19,"Phoenix",14,66292
"48",10106,"From: 01 Jan 2013","To: 31 Dec 2013","Arizona",2013,2756,"Afghanistan",53,"Peoria",1,66066
"49",12899,"From: 01 Jan 2014","To: 31 Dec 2014","Arizona",2014,3178,"Afghanistan",47,"Glendale",9,72820
"50",26377,"From: 01 Jan 2015","To: 31 Dec 2015","Arizona",2015,2960,"Afghanistan",37,"Glendale",9,66517
"51",5049,"From: 01 Jan 2016","To: 31 Dec 2016","Arizona",2016,4829,"Afghanistan",191,"Glendale",19,96874
"52",17,"From: 01 Jan 2017","To: 31 Dec 2017","Arizona",2017,1044,"Afghanistan",65,"Glendale",10,33368
"53",8498,"From: 01 Jan 2018","To: 31 Dec 2018","Arizona",2018,1054,"Afghanistan",85,"Glendale",32,22874
"54",15735,"From: 01 Jan 2019","To: 31 Dec 2019","Arizona",2019,1143,"Afghanistan",97,"Glendale",42,27514
"55",53693,"From: 01 Jan 2003","To: 31 Dec 2003","Arkansas",2003,4,"Iran",4,"Fayetteville",3,32235
"56",35291,"From: 01 Jan 2004","To: 31 Dec 2004","Arkansas",2004,31,"Burundi",5,"Phoenix",5,56342
"57",38561,"From: 01 Jan 2005","To: 31 Dec 2005","Arkansas",2005,1,"Vietnam",1,"Blytheville",1,51897
"58",41558,"From: 01 Jan 2007","To: 31 Dec 2007","Arkansas",2007,6,"Burma",2,"Hot Springs",1,47753
"59",20368,"From: 01 Jan 2008","To: 31 Dec 2008","Arkansas",2008,15,"Burma",5,"Jonesboro",5,64733
"60",23354,"From: 01 Jan 2009","To: 31 Dec 2009","Arkansas",2009,32,"Burma",1,"Jonesboro",1,79942
"61",46976,"From: 01 Jan 2010","To: 31 Dec 2010","Arkansas",2010,17,"Burma",5,"Conway",5,71361
"62",49845,"From: 01 Jan 2011","To: 31 Dec 2011","Arkansas",2011,3,"Bhutan",3,"Springdale",3,51458
