"","occupation","lessthanhs","hsdiploma","somecollege","associates","bachelors","masters","professional","hsorless","somecollegeorassociates","postgrad","TOT_EMP","A_MEDIAN","natlwage","typicaled","workexp","probability","total"
"356","Psychiatric Aides",13.1,35.7,31.6,10.1,7.4,1.4,0.8,48.8,41.7,2.2,65770,27110,1929034100,"High school diploma or equivalent","None",0.47,65190
"357","Psychiatric Technicians",1.8,20.1,34.7,21.6,18.2,2.5,1.1,21.9,56.3,3.6,66930,31670,2414165100,"Postsecondary nondegree award","Less than 5 years",0.043,61140
"358","Public Address System and Other Announcers",3.9,18.9,25.7,8.7,36.1,5.3,1.5,22.8,34.4,6.8,7920,28440,330580800,"High school diploma or equivalent","None",0.72,7110
"359","Public Relations and Fundraising Managers",0.2,1.5,7.6,2.8,58.5,25.5,3.8,1.7,10.4,29.3,67300,111280,8593537000,"Bachelor's degree","5 years or more",0.015,63950
"360","Public Relations Specialists",0.8,3.4,8.8,4,57.2,21.9,3.9,4.2,12.8,25.8,233730,59300,15891302700,"Bachelor's degree","None",0.18,226940
"361","Purchasing Managers",0.8,10.8,19.2,7.7,39.9,18.5,3.1,11.6,26.9,21.6,70430,115760,8579078300,"Bachelor's degree","5 years or more",0.03,70270
"362","Radiation Therapists",0,2.7,8.9,31.7,45.9,8.2,2.6,2.7,40.6,10.8,17250,80570,1469527500,"Associate's degree","None",0.34,17130
"363","Radio and Television Announcers",3.9,18.9,25.7,8.7,36.1,5.3,1.5,22.8,34.4,6.8,28580,32450,1361265400,"Bachelor's degree","None",0.1,29120
"364","Radio Operators",1.3,17.9,29.4,16.7,30.4,3.7,0.5,19.2,46.1,4.2,770,44330,34257300,"High school diploma or equivalent","None",0.98,310
"365","Rail Car Repairers",13.1,44.7,25.4,12,3.7,0.6,0.3,57.8,37.4,0.9,24090,57460,1358194200,"High school diploma or equivalent","None",0.88,19390
"366","Rail-Track Laying and Maintenance Equipment Operators",10.6,53.6,27.1,5,3.7,0,0,64.2,32.1,0,15070,56060,849345200,"High school diploma or equivalent","None",0.89,12920
"367","Railroad Conductors and Yardmasters",2.6,33.1,36.3,12.2,13.3,1.7,0.8,35.7,48.5,2.5,44490,60300,2819331300,"High school diploma or equivalent","None",0.83,32150
"368","Real Estate Brokers",1.4,12.3,26.4,10.2,38.1,9.7,2.1,13.7,36.6,11.8,40530,56730,3076632300,"High school diploma or equivalent","Less than 5 years",0.97,40630
"369","Real Estate Sales Agents",1.4,12.3,26.4,10.2,38.1,9.7,2.1,13.7,36.6,11.8,147960,45990,8822854800,"High school diploma or equivalent","None",0.86,151710
"370","Receptionists and Information Clerks",4.1,32.8,34.1,12.6,13.6,2.5,0.3,36.9,46.7,2.8,1014900,28390,30081636000,"High school diploma or equivalent","None",0.96,997760
"371","Recreation Workers",2.4,14.8,24,10.1,37.5,9.9,1.4,17.2,34.1,11.3,352350,24540,9848182500,"High school diploma or equivalent","None",0.0061,336910
"372","Recreational Therapists",0.8,5.7,6.8,7.2,65.3,12.3,1.7,6.5,14,14,18490,47680,918398300,"Bachelor's degree","None",0.0028,18080
"373","Recreational Vehicle Service Technicians",24.9,43,20.3,5.4,5.4,0.8,0.1,67.9,25.7,0.9,14780,37200,578784800,"High school diploma or equivalent","None",0.59,13410
"374","Refuse and Recyclable Material Collectors",25.8,48.2,16.7,4.9,3.9,0.6,0.1,74,21.6,0.7,115130,36160,4480859600,"No formal educational credential","None",0.93,114650
"375","Registered Nurses",0.3,1,5,33,49.6,9.2,1.8,1.3,38,11,2906840,70000,213798082000,"Bachelor's degree","None",0.009,0
"376","Rehabilitation Counselors",1.1,5.1,8.3,5,25.1,50.4,5,6.2,13.3,55.4,103840,34860,4044568000,"Master's degree","None",0.0094,103030
"377","Reinforcing Iron and Rebar Workers",35.6,43.4,14.6,3.1,2.5,0.6,0.3,79,17.7,0.9,18480,46850,1002909600,"High school diploma or equivalent","None",0.9,19570
"378","Reporters and Correspondents",0.7,2.3,8.5,3.9,61.4,20.8,2.4,3,12.4,23.2,38790,39370,1999624500,"Bachelor's degree","None",0.11,40080
"379","Reservation and Transportation Ticket Agents and Travel Clerks",2.1,24.5,33.4,11.1,25.1,3.2,0.6,26.6,44.5,3.8,148220,36280,5906567000,"High school diploma or equivalent","None",0.61,135780
"380","Residential Advisors",3,18.5,30.9,13.7,24.1,9,0.8,21.5,44.6,9.8,110720,26830,3194272000,"High school diploma or equivalent","None",0.064,110330
"381","Respiratory Therapists",0.3,1.2,12.7,54.4,27.6,2.8,1,1.5,67.1,3.8,128250,59710,7927132500,"Associate's degree","None",0.066,126820
"382","Respiratory Therapy Technicians",1.8,20.1,34.7,21.6,18.2,2.5,1.1,21.9,56.3,3.6,9600,50350,488640000,"Associate's degree","None",0.1,10150
"383","Retail Salespersons",6.8,29.2,28.2,10.3,21.2,3.8,0.7,36,38.5,4.5,4442090,23210,121979791400,"No formal educational credential","None",0.92,4528570
"384","Riggers",11.7,53.7,18.7,10.6,4.9,0.4,0,65.4,29.3,0.4,21000,48580,1055670000,"High school diploma or equivalent","None",0.89,20500
"385","Roofers",46.8,36.7,11.4,1.7,3,0.3,0.1,83.5,13.1,0.4,121170,38970,5183652600,"No formal educational credential","None",0.9,116160
"386","Sailors and Marine Oilers",11.9,37.2,30.2,4.9,13.5,2.4,0,49.1,35.1,2.4,30940,40730,1440566400,"No formal educational credential","None",0.83,28420
"387","Sales Engineers",0,4.8,14.8,9.1,57.2,13,1.1,4.8,23.9,14.1,70820,98720,7574199000,"Bachelor's degree","None",0.0041,73930
"388","Sales Managers",0.9,7.4,15.7,6.5,50.5,17.4,1.6,8.3,22.2,19,371410,121060,51124586500,"Bachelor's degree","Less than 5 years",0.013,365250
"389","Security and Fire Alarm Systems Installers",8.6,39.5,29.7,12.4,8.5,1,0.4,48.1,42.1,1.4,69830,45670,3288993000,"High school diploma or equivalent","None",0.82,67620
"390","Security Guards",6.1,35.3,32.1,10.3,13.2,2.7,0.4,41.4,42.4,3.1,1105440,26900,33970171200,"High school diploma or equivalent","None",0.84,1103150
